playerID,yearID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,awardID,set
culbech01,2020,NL,1B,4,0,27,8,0,0,2,false,train
contrwi01,2018,NL,1B,1,0,9,3,0,0,0,false,train
baezpe01,2020,NL,P,18,0,51,0,0,0,0,false,train
speiega01,2023,AL,P,69,0,164,3,4,0,0,false,test
wislema01,2019,NL,P,21,0,87,1,3,1,0,false,train
mcneije01,2020,NL,OF,30,30,735,46,1,0,1,false,train
rossora01,2021,NL,P,7,0,24,0,1,0,0,false,train
mckentr01,2020,AL,P,8,6,100,0,4,0,0,false,train
edmanto01,2019,NL,3B,55,41,1147,28,78,3,7,false,train
allenlo01,2021,AL,P,14,11,151,3,4,0,0,false,train
tovarwi01,2014,NL,SS,1,0,11,0,1,0,0,false,train
difowi01,2022,NL,2B,1,1,24,3,2,0,0,false,train
martijp01,2023,AL,OF,10,9,245,24,0,0,0,false,test
middlwi01,2015,NL,SS,8,4,117,5,11,0,3,false,train
gosseph01,2017,AL,3B,2,0,8,0,0,0,0,false,train
ferguca01,2022,NL,P,37,1,104,0,2,0,0,false,train
bergmch01,2018,AL,P,3,2,42,1,1,0,0,false,train
perdolu02,2017,NL,P,29,29,491,11,22,1,2,false,train
sauceta01,2022,AL,P,4,0,8,0,0,0,0,false,train
mortecl01,2013,AL,P,24,0,91,3,4,1,0,false,train
pedrodu01,2017,AL,2B,98,97,2504,156,208,2,59,false,train
familje01,2022,AL,P,10,0,31,0,0,0,0,false,train
quallch01,2017,NL,P,19,0,50,0,2,0,0,false,train
torregl01,2021,AL,SS,108,104,2747,121,236,18,37,false,train
torreca01,2013,NL,P,33,9,259,5,9,0,0,false,train
tillmch01,2015,AL,P,31,31,519,7,18,1,0,false,train
newbeja01,2019,AL,P,27,0,93,1,4,0,1,false,train
langeal01,2022,AL,P,71,0,190,5,7,1,0,false,train
castrha01,2020,AL,OF,12,5,165,17,0,0,0,false,train
doylebr02,2023,NL,OF,125,118,3071,373,10,1,3,true,test
velasvi01,2018,NL,P,31,30,440,5,18,2,0,false,train
knebeco01,2020,NL,P,15,0,40,2,1,0,0,false,train
barneau01,2015,NL,C,11,7,208,57,5,0,0,false,train
hembrhe01,2021,NL,P,60,0,0,3,2,0,1,false,train
goudeas01,2020,NL,P,4,0,25,2,1,0,1,false,train
faluir01,2013,AL,3B,1,1,27,1,0,0,0,false,train
selmasa01,2021,NL,P,7,0,24,0,0,0,0,false,train
moncayo01,2017,AL,2B,54,54,1402,61,169,8,29,false,train
marrech01,2013,NL,1B,3,2,51,12,2,0,1,false,train
martivi01,2018,AL,1B,1,1,3,1,0,0,0,false,train
